model,date,price_brl,launch_date
iPhone 13 128GB,2022-06-05,6119,2021-09-24
iPhone 13 128GB,2022-06-12,6095,2021-09-24
iPhone 13 128GB,2022-06-19,6076,2021-09-24
iPhone 13 128GB,2022-06-26,6067,2021-09-24
iPhone 13 128GB,2022-07-03,6058,2021-09-24
iPhone 13 128GB,2022-07-10,6052,2021-09-24
iPhone 13 128GB,2022-07-17,6028,2021-09-24
iPhone 13 128GB,2022-07-24,5981,2021-09-24
iPhone 13 128GB,2022-07-31,5942,2021-09-24
iPhone 13 128GB,2022-08-07,5896,2021-09-24
iPhone 13 128GB,2022-08-14,5847,2021-09-24
iPhone 13 128GB,2022-08-21,5803,2021-09-24
iPhone 13 128GB,2022-08-28,5795,2021-09-24
iPhone 13 128GB,2022-09-04,5788,2021-09-24
iPhone 13 128GB,2022-09-11,5775,2021-09-24
iPhone 13 128GB,2022-09-18,5754,2021-09-24
iPhone 13 128GB,2022-09-25,5715,2021-09-24
iPhone 13 128GB,2022-10-02,5669,2021-09-24
iPhone 13 128GB,2022-10-09,5650,2021-09-24
iPhone 13 128GB,2022-10-16,5624,2021-09-24
iPhone 13 128GB,2022-10-23,5575,2021-09-24
iPhone 13 128GB,2022-10-30,5528,2021-09-24
iPhone 13 128GB,2022-11-06,5527,2021-09-24
iPhone 13 128GB,2022-11-13,5494,2021-09-24
iPhone 13 128GB,2022-11-20,5445,2021-09-24
iPhone 13 128GB,2022-11-27,5437,2021-09-24
iPhone 13 128GB,2022-12-04,5398,2021-09-24
iPhone 13 128GB,2022-12-11,5366,2021-09-24
iPhone 13 128GB,2022-12-18,5339,2021-09-24
iPhone 13 128GB,2022-12-25,5316,2021-09-24
iPhone 13 128GB,2023-01-01,5308,2021-09-24
iPhone 13 128GB,2023-01-08,5303,2021-09-24
iPhone 13 128GB,2023-01-15,5303,2021-09-24
iPhone 13 128GB,2023-01-22,5286,2021-09-24
iPhone 13 128GB,2023-01-29,5273,2021-09-24
iPhone 13 128GB,2023-02-05,5259,2021-09-24
iPhone 13 128GB,2023-02-12,5242,2021-09-24
iPhone 13 128GB,2023-02-19,5194,2021-09-24
iPhone 13 128GB,2023-02-26,5148,2021-09-24
iPhone 13 128GB,2023-03-05,5117,2021-09-24
iPhone 13 128GB,2023-03-12,5086,2021-09-24
iPhone 13 128GB,2023-03-19,5060,2021-09-24
iPhone 13 128GB,2023-03-26,5040,2021-09-24
iPhone 13 128GB,2023-04-02,5022,2021-09-24
iPhone 13 128GB,2023-04-09,5016,2021-09-24
iPhone 13 128GB,2023-04-16,4985,2021-09-24
iPhone 13 128GB,2023-04-23,4985,2021-09-24
iPhone 13 128GB,2023-04-30,4966,2021-09-24
iPhone 13 128GB,2023-05-07,4920,2021-09-24
iPhone 13 128GB,2023-05-14,4890,2021-09-24
iPhone 13 128GB,2023-05-21,4842,2021-09-24
iPhone 13 128GB,2023-05-28,4813,2021-09-24
iPhone 13 128GB,2023-06-04,4775,2021-09-24
iPhone 13 128GB,2023-06-11,4759,2021-09-24
iPhone 13 128GB,2023-06-18,4746,2021-09-24
iPhone 13 128GB,2023-06-25,4730,2021-09-24
iPhone 13 128GB,2023-07-02,4704,2021-09-24
iPhone 13 128GB,2023-07-09,4674,2021-09-24
iPhone 13 128GB,2023-07-16,4639,2021-09-24
iPhone 13 128GB,2023-07-23,4625,2021-09-24
iPhone 13 128GB,2023-07-30,4602,2021-09-24
iPhone 13 128GB,2023-08-06,4582,2021-09-24
iPhone 13 128GB,2023-08-13,4563,2021-09-24
iPhone 13 128GB,2023-08-20,4544,2021-09-24
iPhone 13 128GB,2023-08-27,4507,2021-09-24
iPhone 13 128GB,2023-09-03,4487,2021-09-24
iPhone 13 128GB,2023-09-10,4456,2021-09-24
iPhone 13 128GB,2023-09-17,4444,2021-09-24
iPhone 13 128GB,2023-09-24,4415,2021-09-24
iPhone 13 128GB,2023-10-01,4415,2021-09-24
iPhone 13 128GB,2023-10-08,4373,2021-09-24
iPhone 13 128GB,2023-10-15,4355,2021-09-24
iPhone 13 128GB,2023-10-22,4348,2021-09-24
iPhone 13 128GB,2023-10-29,4342,2021-09-24
iPhone 13 128GB,2023-11-05,4308,2021-09-24
iPhone 13 128GB,2023-11-12,4275,2021-09-24
iPhone 13 128GB,2023-11-19,4240,2021-09-24
iPhone 13 128GB,2023-11-26,4197,2021-09-24
iPhone 13 128GB,2023-12-03,4158,2021-09-24
iPhone 13 128GB,2023-12-10,4118,2021-09-24
iPhone 13 128GB,2023-12-17,4105,2021-09-24
iPhone 13 128GB,2023-12-24,4084,2021-09-24
iPhone 13 128GB,2023-12-31,4076,2021-09-24
iPhone 13 128GB,2024-01-07,4067,2021-09-24
iPhone 13 128GB,2024-01-14,4049,2021-09-24
iPhone 13 128GB,2024-01-21,4015,2021-09-24
iPhone 13 128GB,2024-01-28,4012,2021-09-24
iPhone 13 128GB,2024-02-04,3968,2021-09-24
iPhone 13 128GB,2024-02-11,3920,2021-09-24
iPhone 13 128GB,2024-02-18,3878,2021-09-24
iPhone 13 128GB,2024-02-25,3847,2021-09-24
iPhone 13 128GB,2024-03-03,3824,2021-09-24
iPhone 13 128GB,2024-03-10,3815,2021-09-24
iPhone 13 128GB,2024-03-17,3788,2021-09-24
iPhone 13 128GB,2024-03-24,3759,2021-09-24
iPhone 13 128GB,2024-03-31,3730,2021-09-24
iPhone 13 128GB,2024-04-07,3683,2021-09-24
iPhone 13 128GB,2024-04-14,3677,2021-09-24
iPhone 13 128GB,2024-04-21,3628,2021-09-24
iPhone 13 128GB,2024-04-28,3619,2021-09-24
iPhone 13 128GB,2024-05-05,3615,2021-09-24
iPhone 13 128GB,2024-05-12,3590,2021-09-24
iPhone 13 128GB,2024-05-19,3580,2021-09-24
iPhone 13 128GB,2024-05-26,3577,2021-09-24
iPhone 13 128GB,2024-06-02,3551,2021-09-24
iPhone 13 128GB,2024-06-09,3503,2021-09-24
iPhone 13 128GB,2024-06-16,3488,2021-09-24
iPhone 13 128GB,2024-06-23,3442,2021-09-24
iPhone 13 128GB,2024-06-30,3437,2021-09-24
iPhone 14 128GB,2022-09-18,7999,2022-09-16
iPhone 14 128GB,2022-09-25,7997,2022-09-16
iPhone 14 128GB,2022-10-02,7961,2022-09-16
iPhone 14 128GB,2022-10-09,7950,2022-09-16
iPhone 14 128GB,2022-10-16,7909,2022-09-16
iPhone 14 128GB,2022-10-23,7874,2022-09-16
iPhone 14 128GB,2022-10-30,7836,2022-09-16
iPhone 14 128GB,2022-11-06,7829,2022-09-16
iPhone 14 128GB,2022-11-13,7796,2022-09-16
iPhone 14 128GB,2022-11-20,7781,2022-09-16
iPhone 14 128GB,2022-11-27,7752,2022-09-16
iPhone 14 128GB,2022-12-04,7726,2022-09-16
iPhone 14 128GB,2022-12-11,7684,2022-09-16
iPhone 14 128GB,2022-12-18,7679,2022-09-16
iPhone 14 128GB,2022-12-25,7638,2022-09-16
iPhone 14 128GB,2023-01-01,7620,2022-09-16
iPhone 14 128GB,2023-01-08,7585,2022-09-16
iPhone 14 128GB,2023-01-15,7561,2022-09-16
iPhone 14 128GB,2023-01-22,7545,2022-09-16
iPhone 14 128GB,2023-01-29,7544,2022-09-16
iPhone 14 128GB,2023-02-05,7512,2022-09-16
iPhone 14 128GB,2023-02-12,7492,2022-09-16
iPhone 14 128GB,2023-02-19,7458,2022-09-16
iPhone 14 128GB,2023-02-26,7455,2022-09-16
iPhone 14 128GB,2023-03-05,7424,2022-09-16
iPhone 14 128GB,2023-03-12,7394,2022-09-16
iPhone 14 128GB,2023-03-19,7382,2022-09-16
iPhone 14 128GB,2023-03-26,7377,2022-09-16
iPhone 14 128GB,2023-04-02,7333,2022-09-16
iPhone 14 128GB,2023-04-09,7287,2022-09-16
iPhone 14 128GB,2023-04-16,7272,2022-09-16
iPhone 14 128GB,2023-04-23,7240,2022-09-16
iPhone 14 128GB,2023-04-30,7235,2022-09-16
iPhone 14 128GB,2023-05-07,7193,2022-09-16
iPhone 14 128GB,2023-05-14,7174,2022-09-16
iPhone 14 128GB,2023-05-21,7161,2022-09-16
iPhone 14 128GB,2023-05-28,7148,2022-09-16
iPhone 14 128GB,2023-06-04,7133,2022-09-16
iPhone 14 128GB,2023-06-11,7127,2022-09-16
iPhone 14 128GB,2023-06-18,7101,2022-09-16
iPhone 14 128GB,2023-06-25,7063,2022-09-16
iPhone 14 128GB,2023-07-02,7054,2022-09-16
iPhone 14 128GB,2023-07-09,7052,2022-09-16
iPhone 14 128GB,2023-07-16,7043,2022-09-16
iPhone 14 128GB,2023-07-23,7015,2022-09-16
iPhone 14 128GB,2023-07-30,6998,2022-09-16
iPhone 14 128GB,2023-08-06,6966,2022-09-16
iPhone 14 128GB,2023-08-13,6951,2022-09-16
iPhone 14 128GB,2023-08-20,6950,2022-09-16
iPhone 14 128GB,2023-08-27,6917,2022-09-16
iPhone 14 128GB,2023-09-03,6882,2022-09-16
iPhone 14 128GB,2023-09-10,6859,2022-09-16
iPhone 14 128GB,2023-09-17,6813,2022-09-16
iPhone 14 128GB,2023-09-24,6768,2022-09-16
iPhone 14 128GB,2023-10-01,6737,2022-09-16
iPhone 14 128GB,2023-10-08,6696,2022-09-16
iPhone 14 128GB,2023-10-15,6688,2022-09-16
iPhone 14 128GB,2023-10-22,6678,2022-09-16
iPhone 14 128GB,2023-10-29,6657,2022-09-16
iPhone 14 128GB,2023-11-05,6651,2022-09-16
iPhone 14 128GB,2023-11-12,6618,2022-09-16
iPhone 14 128GB,2023-11-19,6618,2022-09-16
iPhone 14 128GB,2023-11-26,6586,2022-09-16
iPhone 14 128GB,2023-12-03,6583,2022-09-16
iPhone 14 128GB,2023-12-10,6564,2022-09-16
iPhone 14 128GB,2023-12-17,6519,2022-09-16
iPhone 14 128GB,2023-12-24,6509,2022-09-16
iPhone 14 128GB,2023-12-31,6472,2022-09-16
iPhone 14 128GB,2024-01-07,6441,2022-09-16
iPhone 14 128GB,2024-01-14,6434,2022-09-16
iPhone 14 128GB,2024-01-21,6401,2022-09-16
iPhone 14 128GB,2024-01-28,6377,2022-09-16
iPhone 14 128GB,2024-02-04,6375,2022-09-16
iPhone 14 128GB,2024-02-11,6332,2022-09-16
iPhone 14 128GB,2024-02-18,6298,2022-09-16
iPhone 14 128GB,2024-02-25,6286,2022-09-16
iPhone 14 128GB,2024-03-03,6255,2022-09-16
iPhone 14 128GB,2024-03-10,6230,2022-09-16
iPhone 14 128GB,2024-03-17,6186,2022-09-16
iPhone 14 128GB,2024-03-24,6151,2022-09-16
iPhone 14 128GB,2024-03-31,6122,2022-09-16
iPhone 14 128GB,2024-04-07,6078,2022-09-16
iPhone 14 128GB,2024-04-14,6054,2022-09-16
iPhone 14 128GB,2024-04-21,6014,2022-09-16
iPhone 14 128GB,2024-04-28,5965,2022-09-16
iPhone 14 128GB,2024-05-05,5949,2022-09-16
iPhone 14 128GB,2024-05-12,5916,2022-09-16
iPhone 14 128GB,2024-05-19,5908,2022-09-16
iPhone 14 128GB,2024-05-26,5902,2022-09-16
iPhone 14 128GB,2024-06-02,5853,2022-09-16
iPhone 14 128GB,2024-06-09,5814,2022-09-16
iPhone 14 128GB,2024-06-16,5772,2022-09-16
iPhone 14 128GB,2024-06-23,5759,2022-09-16
iPhone 14 128GB,2024-06-30,5744,2022-09-16
iPhone 15 128GB,2023-09-24,8999,2023-09-22
iPhone 15 128GB,2023-10-01,8968,2023-09-22
iPhone 15 128GB,2023-10-08,8936,2023-09-22
iPhone 15 128GB,2023-10-15,8887,2023-09-22
iPhone 15 128GB,2023-10-22,8841,2023-09-22
iPhone 15 128GB,2023-10-29,8822,2023-09-22
iPhone 15 128GB,2023-11-05,8790,2023-09-22
iPhone 15 128GB,2023-11-12,8768,2023-09-22
iPhone 15 128GB,2023-11-19,8761,2023-09-22
iPhone 15 128GB,2023-11-26,8739,2023-09-22
iPhone 15 128GB,2023-12-03,8738,2023-09-22
iPhone 15 128GB,2023-12-10,8722,2023-09-22
iPhone 15 128GB,2023-12-17,8722,2023-09-22
iPhone 15 128GB,2023-12-24,8693,2023-09-22
iPhone 15 128GB,2023-12-31,8657,2023-09-22
iPhone 15 128GB,2024-01-07,8614,2023-09-22
iPhone 15 128GB,2024-01-14,8594,2023-09-22
iPhone 15 128GB,2024-01-21,8584,2023-09-22
iPhone 15 128GB,2024-01-28,8578,2023-09-22
iPhone 15 128GB,2024-02-04,8552,2023-09-22
iPhone 15 128GB,2024-02-11,8540,2023-09-22
iPhone 15 128GB,2024-02-18,8515,2023-09-22
iPhone 15 128GB,2024-02-25,8478,2023-09-22
iPhone 15 128GB,2024-03-03,8463,2023-09-22
iPhone 15 128GB,2024-03-10,8421,2023-09-22
iPhone 15 128GB,2024-03-17,8391,2023-09-22
iPhone 15 128GB,2024-03-24,8374,2023-09-22
iPhone 15 128GB,2024-03-31,8356,2023-09-22
iPhone 15 128GB,2024-04-07,8343,2023-09-22
iPhone 15 128GB,2024-04-14,8295,2023-09-22
iPhone 15 128GB,2024-04-21,8252,2023-09-22
iPhone 15 128GB,2024-04-28,8211,2023-09-22
iPhone 15 128GB,2024-05-05,8207,2023-09-22
iPhone 15 128GB,2024-05-12,8194,2023-09-22
iPhone 15 128GB,2024-05-19,8160,2023-09-22
iPhone 15 128GB,2024-05-26,8160,2023-09-22
iPhone 15 128GB,2024-06-02,8137,2023-09-22
iPhone 15 128GB,2024-06-09,8112,2023-09-22
iPhone 15 128GB,2024-06-16,8106,2023-09-22
iPhone 15 128GB,2024-06-23,8096,2023-09-22
iPhone 15 128GB,2024-06-30,8070,2023-09-22
